date,time
2025-03-27,2:06
2025-03-28,2:13
2025-03-29,1:05
2025-03-30,0:00
2025-03-31,1:58
2025-04-01,2:19
2025-04-02,1:43
2025-04-03,2:31
2025-04-04,0:27
2025-04-05,2:01
2025-04-06,2:11
2025-04-07,0:51
2025-04-08,0:38
2025-04-09,3:17
2025-04-10,0:00
2025-04-11,0:51
2025-04-12,0:00
2025-04-13,0:27
2025-04-14,1:20
2025-04-15,0:00
2025-04-16,1:28
2025-04-17,2:10
2025-04-18,2:32
2025-04-19,1:00
2025-04-20,1:58
2025-04-21,1:18
2025-04-22,2:54
2025-04-23,0:00
2025-04-24,0:00
2025-04-25,0:00
2025-04-26,0:50
2025-04-27,0:59
2025-04-28,2:04
2025-04-29,0:09
2025-04-30,0:00
