species,bill_length,long_short,sex
Gentoo,46.1,ordinary,female
Gentoo,50,ordinary,male
Gentoo,48.7,ordinary,female
Gentoo,50,ordinary,male
Gentoo,47.6,ordinary,male
Gentoo,46.5,ordinary,female
Gentoo,45.4,ordinary,female
Gentoo,46.7,ordinary,male
Gentoo,43.3,ordinary,female
Gentoo,46.8,ordinary,male
Gentoo,40.9,short,female
Gentoo,49,ordinary,male
Gentoo,45.5,ordinary,female
Gentoo,48.4,ordinary,male
Gentoo,45.8,ordinary,female
Gentoo,49.3,ordinary,male
Gentoo,42,ordinary,female
Gentoo,49.2,ordinary,male
Gentoo,46.2,ordinary,female
Gentoo,48.7,ordinary,male
Gentoo,50.2,ordinary,male
Gentoo,45.1,ordinary,female
Gentoo,46.5,ordinary,female
Gentoo,46.3,ordinary,male
Gentoo,42.9,ordinary,female
Gentoo,46.1,ordinary,male
Gentoo,44.5,ordinary,NA
Gentoo,47.8,ordinary,male
Gentoo,48.2,ordinary,female
Gentoo,50,ordinary,male
Gentoo,47.3,ordinary,male
Gentoo,42.8,ordinary,female
Gentoo,45.1,ordinary,female
Gentoo,59.6,long,male
Gentoo,49.1,ordinary,female
Gentoo,48.4,ordinary,male
Gentoo,42.6,ordinary,female
Gentoo,44.4,ordinary,male
Gentoo,44,ordinary,female
Gentoo,48.7,ordinary,male
Gentoo,42.7,ordinary,female
Gentoo,49.6,ordinary,male
Gentoo,45.3,ordinary,female
Gentoo,49.6,ordinary,male
Gentoo,50.5,ordinary,male
Gentoo,43.6,ordinary,female
Gentoo,45.5,ordinary,female
Gentoo,50.5,ordinary,male
Gentoo,44.9,ordinary,female
Gentoo,45.2,ordinary,male
Gentoo,46.6,ordinary,female
Gentoo,48.5,ordinary,male
Gentoo,45.1,ordinary,female
Gentoo,50.1,ordinary,male
Gentoo,46.5,ordinary,female
Gentoo,45,ordinary,male
Gentoo,43.8,ordinary,female
Gentoo,45.5,ordinary,male
Gentoo,43.2,ordinary,female
Gentoo,50.4,ordinary,male
Gentoo,45.3,ordinary,female
Gentoo,46.2,ordinary,male
Gentoo,45.7,ordinary,female
Gentoo,54.3,long,male
Gentoo,45.8,ordinary,female
Gentoo,49.8,ordinary,male
Gentoo,46.2,ordinary,NA
Gentoo,49.5,ordinary,male
Gentoo,43.5,ordinary,female
Gentoo,50.7,ordinary,male
Gentoo,47.7,ordinary,female
Gentoo,46.4,ordinary,male
Gentoo,48.2,ordinary,male
Gentoo,46.5,ordinary,female
Gentoo,46.4,ordinary,female
Gentoo,48.6,ordinary,male
Gentoo,47.5,ordinary,female
Gentoo,51.1,ordinary,male
Gentoo,45.2,ordinary,female
Gentoo,45.2,ordinary,male
Gentoo,49.1,ordinary,female
Gentoo,52.5,ordinary,male
Gentoo,47.4,ordinary,female
Gentoo,50,ordinary,male
Gentoo,44.9,ordinary,female
Gentoo,50.8,ordinary,male
Gentoo,43.4,ordinary,female
Gentoo,51.3,ordinary,male
Gentoo,47.5,ordinary,female
Gentoo,52.1,ordinary,male
Gentoo,47.5,ordinary,female
Gentoo,52.2,ordinary,male
Gentoo,45.5,ordinary,female
Gentoo,49.5,ordinary,male
Gentoo,44.5,ordinary,female
Gentoo,50.8,ordinary,male
Gentoo,49.4,ordinary,male
Gentoo,46.9,ordinary,female
Gentoo,48.4,ordinary,female
Gentoo,51.1,ordinary,male
Gentoo,48.5,ordinary,female
Gentoo,55.9,long,male
Gentoo,47.2,ordinary,female
Gentoo,49.1,ordinary,male
Gentoo,47.3,ordinary,NA
Gentoo,46.8,ordinary,male
Gentoo,41.7,ordinary,female
Gentoo,53.4,ordinary,male
Gentoo,43.3,ordinary,female
Gentoo,48.1,ordinary,male
Gentoo,50.5,ordinary,female
Gentoo,49.8,ordinary,male
Gentoo,43.5,ordinary,female
Gentoo,51.5,ordinary,male
Gentoo,46.2,ordinary,female
Gentoo,55.1,long,male
Gentoo,44.5,ordinary,NA
Gentoo,48.8,ordinary,male
Gentoo,47.2,ordinary,female
Gentoo,NA,ordinary,NA
Gentoo,46.8,ordinary,female
Gentoo,50.4,ordinary,male
Gentoo,45.2,ordinary,female
Gentoo,49.9,ordinary,male
