bird,votes,year,rank_number,maori_name
Pekapeka-tou-roa / Long-tailed bat,2894,2021,1,Pekapeka-tou-roa
Kākāpō,3351,2021,2,Kākāpō
Titipounamu / rifleman,1852,2021,3,Titipounamu
Kea,1594,2021,4,Kea
Toroa / Antipodean albatross,1468,2021,5,Toroa
Karure / kakaruia / Chatham Island black robin,1228,2021,6,Karure
Kororā / little penguin,1302,2021,7,Kororā
Ruru / Morepork,1260,2021,8,Ruru
Whio / Blue duck,1184,2021,9,Whio
Tawaki piki toka / Rockhopper penguin,1477,2021,10,Tawaki piki toka
Pīwauwau / rock wren,2894,2022,1,Pīwauwau
Kororā / little penguin,3351,2022,2,Kororā
Kea,1852,2022,3,Kea
Karure / kakaruia / Chatham Island black robin,1594,2022,4,Karure
Tawaki piki toka / Rockhopper penguin,1468,2022,5,Tawaki piki toka
Pīwakawaka / Fantail,1228,2022,6,Pīwakawaka
Hihi / stitchbird,1302,2022,7,Hihi
Kārearea / New Zealand falcon,1260,2022,8,Kārearea
Pūteketeke / Australasian crested grebe,1184,2022,9,Pūteketeke
Titipounamu / rifleman,1477,2022,10,Titipounamu
Pūteketeke / Australasian crested grebe,290374,2023,1,Pūteketeke
Brown Kiwi,12904,2023,2,Brown Kiwi
Kea,12060,2023,3,Kea
Kākāpō,10889,2023,4,Kākāpō
Pīwakawaka / Fantail,7857,2023,5,Pīwakawaka
Tawaki piki toka / Rockhopper penguin,6763,2023,6,Tawaki piki toka
Karure / kakaruia / Chatham Island black robin,6753,2023,7,Karure
Huia,6467,2023,8,Huia
Tūī,6457,2023,9,Tūī
Takahē,6292,2023,10,Takahē
Hoiho / yellow-eyed penguin,6328,2024,1,Hoiho
Karure / kakaruia / Chatham Island black robin,5442,2024,2,Karure
Kākāpō,4548,2024,3,Kākāpō
Ruru / Morepork,4467,2024,4,Ruru
Kea,4206,2024,5,Kea
Pīwakawaka / Fantail,4205,2024,6,Pīwakawaka
Takahē,3892,2024,7,Takahē
Tawaki piki toka / Rockhopper penguin,3834,2024,8,Tawaki piki toka
Kōkako,3445,2024,9,Kōkako
Toroa / Antipodean albatross,3415,2024,10,Toroa
